,title,review
894,매디슨 카운티의 다리,진짜 아름다워서 눈물 흘릴뻔
895,동급생,진짜 개 재밌고 미쳤는데요...진짜 ㅠㅠ 만화책 밑에 절반이 꾸겨온거 실화냐고요 신경 안 쓰려고 했는데 볼때마다 너무 명확하게 접혀있는 종이 보니까 너무 안쓰럽고 슬프고..
896,여름과 루비,앤 카슨의 <빨강의 자서전>처럼 시로 쓴 소설 같았다. 소설 전체가 쉬이 지나칠 수 없는 문장들로 이루어져 있어 한 문장에 오래 머물러 있다 다시 이야기로 돌아가기를 반복했다. 여름의 열기가 유독 힘겨운 날엔 언덕 위의 여름과 루비를 종종 떠올릴 것 같다. 그땐 주저없이 이 책을 다시 펼쳐야지.
897,박시백의 고려사 2,박시백 작가는 고려에 역사를 쉽고 유익하게 만드신것 같다 박시백의 조선왕조실록도 재밌있게 읽어서 빨리 고려사 다음권도 기대가 된다
898,머니 코드,"한국에 살려면 이정도 금융, 소비, 세금, 정부에 대해 알고 있어야 되지 않을까요?난 완전 추천입니다."
899,헤어질 결심 각본,이러려고 제 통장에 왔어요? 제가 만만합니까?
900,2022 하반기 에듀윌 공기업 NCS 2주 완성 통합 기본서 PSAT형 + 모듈형 + 실전모의고사,"공기업 준비하면서 에듀윌 책만 항상 구입해서 이용하고 있어요. 실제 시험이랑 유사한 유형 중심으로 내용이 나와서 실전 대비하기에 좋은 것 같습니다. 특히 2주, 4주 플랜을 이용해서 단기간에 빠르게 시험 대비할 때 유용하게 사용했습니다. [기대평 이벤트 참여]"
901,에듀윌 토익 실전 LC+RC,최신 기출 유형 반영과 실제 시험과 유사한 유형 및 난이도로 시험 적중률을 높은 것 같아요
902,"김용균, 김용균들",김용균‘들‘이 어떻게 싸웠는지 싸워야 하는지를 알려줍니다. 마음 아프면서도 덤덤하게 각자의 이야기를 통해 우리의 노동을 생각합니다. 꼭 읽어보세요.
903,에듀윌 토익 실전 LC+RC,실제 모의고사처럼 문제가 구성되어 있고 최신 기출 유형이 잘 반영되어 있는 것 같아 구매했습니다! 열심히 풀어보겠습니다!
904,에듀윌 토익 실전 LC+RC,"무난한 퀄리티를 가지고 있는 교재라고 생각한다. 흑백컬러이지만 가격대비 종이 재질도 나쁘지 않고, 테스트도 5개가 제공되기 때문에 만족한다. - 출판사에서 진행하는 기대평 이벤트 참여"
905,저 많은 돼지고기는 어디서 왔을까?,"제목에 확 끌려 읽고 싶다!라고 생각이 든 책,기후 위기로 소농업인은 점점 더 힘들어지고 농업 생산이 갈수록불안정해지는 요즘.러시아 우크라이나 같은 국제정세도우리나라 밥상 물가를 폭등하게 만드는걸 보고심각성을 깨닫는다.우리가 해야할일은 무엇인가?궁금해져서 읽은책.."
906,카스트 헤븐 8,다좋은데 그래 다좋다구 그렇지만 아무리 그래도 그림 너무대충 아님?? 어떻게 갈수록 작화가 대충대충 하아~실망스럽..지만 그래도 잘마무리되어서 별4개 ㅜㅜ 그림 신경좀 쓰자 작가님아 !
907,나 혼자만 레벨업 6 (아크릴 스탠드 + 마스크 홀더 + 빅스티커 3종 + 홀로그램 북마크 2종 + 초판 한정 카드 4종 포함 한정판),살아계실때도 레전드였는데 작가님이 작고 하셔서 더 레전설이 되었네요 앞으로도 완결까지 작가님의 작품 기다립니다
908,개념 + 유형 고등 수학 2 (2022년용),가성비 최고
909,극주부도 8 (소책자 52p 포함 한정판),한정판은 못 참지!
910,하나님이 찾으시는 한사람 그대입니까?,진짜 선교사님의 최고 간증!!!
911,개의 날,"다들 어떤 문제를 수긍,부정,해결해야할 때 핑계거리를 찾고 있는지 모른다. 개의 고속도로 질주 같은.."
912,절대 배신하지 않는 공부의 기술,실제로 저자가 해보고 경험한 공부 노하우의 핵심만을 집어주는 느낌을 받았다. 마치 내 옆에 공부법 족집게 과외를 받는 듯한 느낌을 받았다. 공부는 멘탈싸움과 꾸준함이 왕도인듯하다. 그리고 반복도 중요한 방법중의 하나이다. 평소 떠다니는 공부법을 체계화해준 저자에게 감사의 인사를 전한다.
913,데이터 사이언티스트 실전 노트,"유튜브로 보던 내용인데 이번에 책으로 잘 정리되어서, 전반 이해나 준비 방향성을 잡는데 추천"
914,아기와 나 오리지널 18,추억 속의 신이 진이로 돌아온 아기와 나라서 안살수 없었어요. 책도 예쁘게 잘나와서 매우 만족합니다
915,논어점정,불교적인관점으로 논어를 재해석하여 다양한 관점으로서의 논어를 접할수 있다. 그러나 내용이 방대하고 쉽게 읽을 수 있는 내용은 아니어서 초심자들이 읽기에는 조금 벅찬감도 있다. 그러나 학문적인 종교에 관심이 있거나 다양한 시선으로의 관점에 관심이 있다면 한번쯤 도전해볼만한 책이다.
916,전지적 독자 시점 4,원작이 워낙 탄탄하고 좋으니 웹툰도 좋을 수밖에 없는거 같아요 ㅠ 잼나요~~
917,사랑하는 이모들,"묘한 이 관계가 가족이란 이름으로 뭉쳐 있을 때, 눈물이 아닌 웃음이 나려고 한다. 어떤 방식으로든 나아가기 마련이니까. 응원가라도 불러주고 싶은데, 음치박치 내 능력으로는 부족하다. 그래도 이들을 보는 마음은 한없이 다정해진다. 이렇게 서로가 성장하는 거겠지."
918,안기고 싶은 남자 1위에게 협박당하고 있습니다 8,재밌게 보고 있는 시리즈 중 하나예요!
919,성막의 세계,성막을 자세히 알 수있고 잘못알고 오류된 것을 일게되면서 성도님들에게 전해지는 하나님의 말씀이 다른 의미로 전해지는 잘못을 막을 수 있어 감사합니다.김경렬저자의 수고가 온전히 느껴집니다.일례로 진설병의 크기를 알고나서는 헛웃음만 나옵니다. 저자의 수고에 박수를 칩니다
920,이누야샤 와이드판 15,매권 인쇄 오류나 표지 문제로 시끄럽긴 한데 기다렸던 와이드판이라 구매는 합니다 ㅠ
921,장송의 프리렌 3,잔잔한데 보면 볼수록 빠져드는 묘한 매력이 있는 만화 같아요
922,틴틴팅클! 2,이거도 뒤에 양장본이나 특별판으로 또 나올거 같긴 한데 초판 소책자 때문에 안살 수가 없었네요ㅠ
923,킹스메이커 트리플 크라운 7,구성이 아쉽긴 하지만 선착순으로 파는 한정판보단 편하게 살수 있는 지금이 더 좋게 느껴지기도 합니다 ㅎ
924,킹스메이커 트리플 크라운 6,1부 재미있게 봐서 2부도 기대했는데 기대만큼 재밌어서 좋으요
925,킹스메이커 트리플 크라운 5,생각지 못하게 나와서 반갑고 좋네요~
926,유일무이 로맨스 7,내용 재밌고 그림도 좋아요~
927,솔직히 회계 1도 모르겠습니다,회계의 뼈대를 잘 알 수 있었다. 회계는 이 책 한 권으로 기초를 다질 수 있다.
928,숨마 초등국어 어휘왕 5-2 (2022년용),"국어뿐만 아니라 학기에 나오는 다른 교과서 사회, 과학, 도덕, 수학등의 교과서에 나오는 어휘도 공부하고 맞춤법, 띄어쓰기, 어휘학습까지 두루 다 되는 초등국어문제집이에요 어휘를 확실히 알고 넘어갈 수 있어서 좋고요 공부한 어휘들을 다시 학습이 되었는지 확인 학습도 할 수 있어요"
929,벼랑 끝에서 당신을 구해줄 1% 마법의 기술,내가 가까이 하는 사람이 나의 성공을 만들어 낸다.
930,생명과 안전을 지키는 직업 2 : 경찰·소방관,이타적인 직업하면 가장 먼저 떠오른 직업인 경찰관과 소방관.이 두 직업에 대한 역사와 나라별 어떤 역할을 해왔는지 그리고 현재와 미래에 어떻게 발전하고 변화하는지에 대해 자세히 나와있는 초등학생들이 방학때 읽으면 좋을만한 책이다.
931,세상에서 가장 맛있는 잼,책이 이뻐요
932,경제기사 궁금증 300문 300답,확실히 도움이 됩니다.꾸준히 읽어볼 만 해요.
933,검술학교의 연애사정 6,주인공 먼치킨인데 한계 걸려져 있는 모양이라 약간 답답하지만 여주들이 좋음
934,틱톡 마케팅,얼굴 안보여주고 틱톡을 할 수 있는 방법에 대한 정보가 없어서 아쉬웠어요.그런데 틱톡에서는 3초부터 5초의 시간이 가장 중요하다는 것을 알게 되었습니다.상상력을 잘 활용해서 열심히 해보려고요.
935,작심하고 3일 안에 끝내는 계산훈련서 2.0 55 Topics 실전적용편,시험 준비하는데 많은 도움이 됐습니다~
936,아서 클라크 단편 전집 1950-1953,현대 SF의 원형들이었고 하드하다기 보다 따뜻했다.
937,내가 틀릴 수도 있습니다,오랜만에 읽는 중에 눈물 흘린 책입니다...
938,개의 날,"유장한 이란 단어가 정말 잘 어울리는 소설이였고, 한날 한 자리에 있던 6명 각자의 삶도 그렇게 흘러갔으면 좋겠다."
939,흔한남매 11,흔한남매 넘기다렸는데 드디어 나오군요^^기대만발입니다~~
940,임진왜란과 거북선 논쟁의 새로운 패러다임,임진왜란 당시의 거북선에 얽힌 논쟁과 새로운 패러다임을 제시한 신선한 책!
941,말총 말고 말사탕,"현실 세계만큼이나 중요해진 가상 공간, 그곳에서 말총이 아닌 말사탕을 사용하며 누구나 사이좋게 지내는 멋진 공간을 만들어 가는 아이들을 만납니다."
942,우리 같이 좀 삽시다,손해보면서 살아가자.얀테의 법칙..
943,금색의 갓슈!! 완전판 4,만화는 재밌습니다. 다만 제본이 문제인지 속표지가 접착이 잘 안 되어있네요.
944,파르테논 신전의 숨겨진 시간,"첫 장부터 마지막 장까지 흥미로움이 가득 담긴 책입니다. 속도감 있는 전개와, 예측불허의 이야기들~ 이제 막 세계사에 관심을 갖기 시작한 아이들에게 강추합니다."
945,2022 에듀윌 한국사능력검정시험 2주끝장 심화,"단기간 준비로 걱정이 많았는데도 불구하고, 약 일주일동안 학습을 하고나니 탄탄한 내용 구성으로 인해 자신감이 오히려 붙는 거 같아요! 무료 특강과 함께 학습하니 더욱 만족스럽습니다 :) 효율적으로 학습할 수 있어서 지루하지 않아 추천합니다!"
946,2022 에듀윌 경비지도사 2차 실전모의고사,문제의 질과 양의 수준이 뛰어나고 시험대비에 매우 적합한 거 같습니다!
947,하이큐!! 39,재미있습니다
948,할머니체조대회,엉뚱한데 절로 웃음이 지어지는 그림책입니다. 어떻게 이런 상상을?!?! 여러사람의 그림들이 섞여있어서 눈으로 보는 재미도 있네요. 무엇보다 책 소개 동영상 너무 재밌었어요. 동영상을 먼저 보시고 책을 보세요~ TIP입니다!!
949,살의의 대담,살인자는 말을 줄여야한다 방심하고 내뱉는 말속엔 비밀스러웠던 살인의 힌트를 던져주게 될 지도 모르니.
950,숨은 신을 찾아서,기대 이상으로 좋았던 책
951,햇빛은 찬란하고 인생은 귀하니까요 (10만부 기념 리커버 에디션),리커버에디션으로 구매할수있어서 좋았습니다. 연륜이 주는 지혜는 따라갈수가없네요.마음에남는 글귀가 많았어요.
952,산책 Promenade,너무 좋고그림을 보고 있으면 어떤 생각들이 입체적으로 떠오르면서 색들이 주는 깊이의 생각을 할 수 있고여러번 볼수록 뭔가 위안이 된다.크빈트 부흐홀츠와는 전혀 다른 이정호 작가만의 세계를 소개해서 더욱 좋은 책이예요. 평생 소장하고 싶고 그림도 다 걸어 놓고 싶은 책❤️
953,혼자였던 저녁과 저녁의 이름,최세운 작가만의 사유의 시간을 만나보게 하는 에세이.
954,소비단식 일기,"모든 단식은 어렵다. 그중에 특히 책, 책을 살 수 없다면... 생존에 필요하니 계속 사야겠다!"
955,김전일 37세의 사건부 10,왜 모든 문화분야에서 명작들이 계속 재탄생되는지 이해시켜준다 기본설정이 탄탄하면 뭘해도 재밌어지니
956,지속의 순간들,"순간이 지속되는 시간은 초 단위가 아닌 한장의 필름, 한 컷의 사진,사진을 찍는 행위는 세상 속으로 들어가지 않으면서 세상에 속할 수 있는 방법일지 모른다."
957,혼자였던 저녁과 저녁의 이름,‘혼자‘ ‘저녁‘ 제목에 담겨있는 쓸쓸함 그대로 드러나는 쓸쓸한 사색의 에세이
958,어떤 호소의 말들,"인권이라는 지켜져야 하는 약속이 지켜지게 하기 위해 노력하는 사람의 이야기. 그 약속이 잘 지켜지기 위해서, 세상이 조금 더 아름다워지기 위해서 많은 이들이 이 책을 읽었으면 좋겠다."
959,인피니트 게임,"어떤 분야에도 적용하며 배울 수 있는 게임의 법칙, 전략적 마인드가 무엇인지 말하고 있음"
960,생태의 시대,두껍지만 재밌게 잘 읽힙니다. 좋은책 내주셔서 감사합니다.
961,야채에 미쳐서,"왜 여태껏 미뤘을까 싶을만큼 재밌었다. 연가도 훌륭했는데, 새로 좋은 작가를 만난 것 같다.미야베미유키도 그랬지만 이 작가도 식재료 묘사가 너무나 훌륭하다."
962,꿈꾸는 남자는 현실주의자 6,7권이 기대되네요.
963,외톨이 흡혈 공주의 고뇌 2,원패턴이지만 재밌게 봤습니다.
964,임진왜란과 거북선 논쟁의 새로운 패러다임,"거북선을 통해 배우는 임진왜란사, 그리고 역사적 의미와 교훈을 배울 수 있는 역사 가이드북"
965,전업주부는 처음이라,남이 만들어놓은 ‘밀키트 인생‘이 아닌 진짜 자기 인생을 찾은 마흔한 살 아저씨의 처음이라 서툰 전업주부 이야기.
966,인피니트 게임,무한게임식 리더의 사고방식을 배워나갈 수 있다.
967,속도를 줄이면 비로소 보이는 것들,"슬로우 씽킹, 리딩, 위킹, 러빙, 리빙 어쩜 목차가 이렇게도 매력적인지. 교보문고 달려가서 바로 사고 싶네요. ‘슬로우 시티‘ 라고 홍보하는 저희 동네에 어울리는 책^^"
968,개의 마음을 읽는 법,"작가의 반려견의 일생을 관찰하며 개의 모든 것들몸의 언어, 행동, 몸짓, 뇌, 얼굴표정, 개의 소리, 꼬리의 움직임등을 과학적으로나 고대에서 현재까지의 개의 모든 것들을 상세히 적은 글입니다.관찰 일기처럼 읽기도 쉽고 궁금한 것들도 모두 해소되는 느낌입니다.초보 견주들이 꼭 읽어 보셨음"
969,더 파이브,"더 나은 삶을 위한 다섯 가지 원칙, 키워드 하나 하나 가져가고 싶네요. 운, 기회, 용기, 결단, 능력. 앞의 네 가지 원칙을 적용하면 왠지 능력이 생길 것 같은 마음이 드네요. 유용한 책 빨리 받아보고 싶어요. 공저 아홉 분 모두 고생하셨습니다."
970,별일 아닌데 뿌듯합니다,환경 다큐를 보고 비건과 제로 웨이스트에 대해 관심은 있었지만 따로 공부해 볼 시간을 내기 어려워서 미루던 중 이 책을 읽었습니다.제로웨이스트와 비건 주제인데도 내용이 딱딱하지 않고 작가님이 직접 겪은 에피소드 위주로 진행되서 술술 재밌게 읽혀요.특히 완벽하지 않아도 각자 할 수 있을 만큼만 제로웨이스트 비건 지향해도 괜찮다는 말이 정말 와닿았어요!
971,2022 에듀윌 한국사능력검정시험 2주끝장 심화,최신 경향 기출분석된 에듀윌 2주끝장 심화로 2주만에 한능검 합격합시다!! 개념과 최신 기출문풀 모두 완벽대비가능한 에듀윌 2주끝장 심화 강추합니다~~
972,성공을 부르는 일곱가지 영적법칙,"일곱 가지 법칙 중에 유독 ‘초연의 법칙‘이 의미 있게 다가왔다. 우리는 특정 결과를 얻기 위해 계획을 세우고 행동하지만 바로 그 ‘결과에 집착하는 마음‘을 내려놓고 불확실성의 지혜를 받아들이게 되면 유연성과 창조성, 자발성을 얻게 된다고 한다. 당연할 수 있지만 다시금 깨닫게 된다."
973,나를 내려놓으니 내가 좋아졌다,나를 사랑하고 나의 행복에대해서 생각해보는 시간이 자주 가져야겠다.
974,임진왜란과 거북선 논쟁의 새로운 패러다임,"임진왜란 그리고 거분선 논쟁을 언급하고 있으며, 헤게모니 이동이 일어나고 있다."
975,달콩이네 떡집,믿고 보는 떡집 시리즈에요. 책읽기가 좋아 베스트 구매로 처음 접하고 신간마다 사고 있어요. 아이가 정말 좋아해요. 앉은 자리에서 다 읽습니다.
976,믿음에 대하여,별로예요.
977,파이브 스타 스토리 The Five Star Stories 4,고딩시절멋진디자인을하고있는모터헤드모습을보고초판을구매해서읽었던때에는현재과거미래도저히종잡을수없는시간흐름으로스토리를제대로이해하지못한채읽었다가대학을졸업할때까지연재가되지않아서끝내는포기했던작품인데16권까지나온걸보구다시구매하내요 근데 설정은그런다고쳐도 메카디자인은ㅠ
978,친밀한 이방인,지금의 그녀는 어떤 모습일까. 이제는 그녀가 제대로 자신의 삶을 살았으면 좋겠다는 생각이 들었다.
979,박시백의 고려사 1,2권도 나오자마자 바로 구매했다.
980,화서의 꿈,매우 수준 높은 판타지 소설.
981,2022 하반기 에듀윌 취업 온라인 GSAT 삼성직무적성검사 통합 기본서,"기출문제와 함께 수리논리, 추리 유형학습 및 실전모의고사로 완벽대비! [서평단 참여]"
982,머나먼 섬들의 지도,아름답고 유니크한 책.
983,어디가 제일 좋았어?,"지금 당장 여행을 떠나지 못해도, 저자처럼 여행지 속에서 나를 돌아보고 다짐하는 시간들을 선물해준다. 올 여름휴가도서로 강추!!"
984,2022 에듀윌 전산세무 2급 기출문제집,전산세무 2급은 무조건 에듀윌이죠~ 구성이 탄탄해서 무난히 합격할 수 있을 것 같아요 / 서평단 이벤트 참여
985,시간 고양이 2,내용이 재밌고 긴장감?있는 그런 내용이라 마음에 들었고 재미있게 봤다고 합니다~
986,하이데거의 존재와 시간 강독,강독책이지만 이렇다하게 도움을 받진 못했다. <존재와 시간>을 조금 쉽게 풀어쓴 정도랄까. 이 한 권의 도움만으로는 <존재와 시간>을 읽어내기가 쉽지 않았다.
987,녹색전상 1~3 세트 - 전3권 (아크릴스탠드 + 4단엽서 + 아크릴 필름마크 2종 + 스티커 3종 + 한정 엽서 4종 + 초판 엽서 3종 포함 한정판),20대 여성이 꼭 읽어야할 책이네요.
988,순이삼촌 (출간 40주년 기념 특별 한정판),짧지만 강력하다 4.3의 현실을 생생하게 접할 수 있는 책. 꼭 드라마나 영화화가 되어 많은 사람들이 4.3을 이해할 수 있었음 좋겠다
989,모노톤 블루,생각보다 재미있음
990,2022 에듀윌 한국사능력검정시험 2주끝장 심화,"단기간 준비로 걱정이 많았는데도 불구하고, 약 일주일동안 학습을 하고나니 탄탄한 내용 구성으로 인해 자신감이 오히려 붙는 거 같아요! 무료 특강과 함께 학습하니 더욱 만족스럽습니다 :) 효율적으로 학습할 수 있어서 지루하지 않아 추천합니다!"
991,2022 에듀윌 경비지도사 2차 실전모의고사,문제의 질과 양의 수준이 뛰어나고 시험대비에 매우 적합한 거 같습니다!
992,하이큐!! 39,재미있습니다
993,할머니체조대회,엉뚱한데 절로 웃음이 지어지는 그림책입니다. 어떻게 이런 상상을?!?! 여러사람의 그림들이 섞여있어서 눈으로 보는 재미도 있네요. 무엇보다 책 소개 동영상 너무 재밌었어요. 동영상을 먼저 보시고 책을 보세요~ TIP입니다!!
994,살의의 대담,살인자는 말을 줄여야한다 방심하고 내뱉는 말속엔 비밀스러웠던 살인의 힌트를 던져주게 될 지도 모르니.
995,숨은 신을 찾아서,기대 이상으로 좋았던 책
996,햇빛은 찬란하고 인생은 귀하니까요 (10만부 기념 리커버 에디션),리커버에디션으로 구매할수있어서 좋았습니다. 연륜이 주는 지혜는 따라갈수가없네요.마음에남는 글귀가 많았어요.
997,산책 Promenade,너무 좋고그림을 보고 있으면 어떤 생각들이 입체적으로 떠오르면서 색들이 주는 깊이의 생각을 할 수 있고여러번 볼수록 뭔가 위안이 된다.크빈트 부흐홀츠와는 전혀 다른 이정호 작가만의 세계를 소개해서 더욱 좋은 책이예요. 평생 소장하고 싶고 그림도 다 걸어 놓고 싶은 책❤️
998,혼자였던 저녁과 저녁의 이름,최세운 작가만의 사유의 시간을 만나보게 하는 에세이.
999,소비단식 일기,"모든 단식은 어렵다. 그중에 특히 책, 책을 살 수 없다면... 생존에 필요하니 계속 사야겠다!"
1000,김전일 37세의 사건부 10,왜 모든 문화분야에서 명작들이 계속 재탄생되는지 이해시켜준다 기본설정이 탄탄하면 뭘해도 재밌어지니
1001,지속의 순간들,"순간이 지속되는 시간은 초 단위가 아닌 한장의 필름, 한 컷의 사진,사진을 찍는 행위는 세상 속으로 들어가지 않으면서 세상에 속할 수 있는 방법일지 모른다."
1002,혼자였던 저녁과 저녁의 이름,‘혼자‘ ‘저녁‘ 제목에 담겨있는 쓸쓸함 그대로 드러나는 쓸쓸한 사색의 에세이
1003,어떤 호소의 말들,"인권이라는 지켜져야 하는 약속이 지켜지게 하기 위해 노력하는 사람의 이야기. 그 약속이 잘 지켜지기 위해서, 세상이 조금 더 아름다워지기 위해서 많은 이들이 이 책을 읽었으면 좋겠다."
1004,인피니트 게임,"어떤 분야에도 적용하며 배울 수 있는 게임의 법칙, 전략적 마인드가 무엇인지 말하고 있음"
1005,생태의 시대,두껍지만 재밌게 잘 읽힙니다. 좋은책 내주셔서 감사합니다.
1006,야채에 미쳐서,"왜 여태껏 미뤘을까 싶을만큼 재밌었다. 연가도 훌륭했는데, 새로 좋은 작가를 만난 것 같다.미야베미유키도 그랬지만 이 작가도 식재료 묘사가 너무나 훌륭하다."
1007,꿈꾸는 남자는 현실주의자 6,7권이 기대되네요.
1008,외톨이 흡혈 공주의 고뇌 2,원패턴이지만 재밌게 봤습니다.
1009,임진왜란과 거북선 논쟁의 새로운 패러다임,"거북선을 통해 배우는 임진왜란사, 그리고 역사적 의미와 교훈을 배울 수 있는 역사 가이드북"
1010,전업주부는 처음이라,남이 만들어놓은 ‘밀키트 인생‘이 아닌 진짜 자기 인생을 찾은 마흔한 살 아저씨의 처음이라 서툰 전업주부 이야기.
1011,인피니트 게임,무한게임식 리더의 사고방식을 배워나갈 수 있다.
1012,속도를 줄이면 비로소 보이는 것들,"슬로우 씽킹, 리딩, 위킹, 러빙, 리빙 어쩜 목차가 이렇게도 매력적인지. 교보문고 달려가서 바로 사고 싶네요. ‘슬로우 시티‘ 라고 홍보하는 저희 동네에 어울리는 책^^"
1013,개의 마음을 읽는 법,"작가의 반려견의 일생을 관찰하며 개의 모든 것들몸의 언어, 행동, 몸짓, 뇌, 얼굴표정, 개의 소리, 꼬리의 움직임등을 과학적으로나 고대에서 현재까지의 개의 모든 것들을 상세히 적은 글입니다.관찰 일기처럼 읽기도 쉽고 궁금한 것들도 모두 해소되는 느낌입니다.초보 견주들이 꼭 읽어 보셨음"
1014,더 파이브,"더 나은 삶을 위한 다섯 가지 원칙, 키워드 하나 하나 가져가고 싶네요. 운, 기회, 용기, 결단, 능력. 앞의 네 가지 원칙을 적용하면 왠지 능력이 생길 것 같은 마음이 드네요. 유용한 책 빨리 받아보고 싶어요. 공저 아홉 분 모두 고생하셨습니다."
1015,별일 아닌데 뿌듯합니다,환경 다큐를 보고 비건과 제로 웨이스트에 대해 관심은 있었지만 따로 공부해 볼 시간을 내기 어려워서 미루던 중 이 책을 읽었습니다.제로웨이스트와 비건 주제인데도 내용이 딱딱하지 않고 작가님이 직접 겪은 에피소드 위주로 진행되서 술술 재밌게 읽혀요.특히 완벽하지 않아도 각자 할 수 있을 만큼만 제로웨이스트 비건 지향해도 괜찮다는 말이 정말 와닿았어요!
1016,2022 에듀윌 한국사능력검정시험 2주끝장 심화,최신 경향 기출분석된 에듀윌 2주끝장 심화로 2주만에 한능검 합격합시다!! 개념과 최신 기출문풀 모두 완벽대비가능한 에듀윌 2주끝장 심화 강추합니다~~
1017,성공을 부르는 일곱가지 영적법칙,"일곱 가지 법칙 중에 유독 ‘초연의 법칙‘이 의미 있게 다가왔다. 우리는 특정 결과를 얻기 위해 계획을 세우고 행동하지만 바로 그 ‘결과에 집착하는 마음‘을 내려놓고 불확실성의 지혜를 받아들이게 되면 유연성과 창조성, 자발성을 얻게 된다고 한다. 당연할 수 있지만 다시금 깨닫게 된다."
1018,나를 내려놓으니 내가 좋아졌다,나를 사랑하고 나의 행복에대해서 생각해보는 시간이 자주 가져야겠다.
1019,임진왜란과 거북선 논쟁의 새로운 패러다임,"임진왜란 그리고 거분선 논쟁을 언급하고 있으며, 헤게모니 이동이 일어나고 있다."
1020,달콩이네 떡집,믿고 보는 떡집 시리즈에요. 책읽기가 좋아 베스트 구매로 처음 접하고 신간마다 사고 있어요. 아이가 정말 좋아해요. 앉은 자리에서 다 읽습니다.
1021,믿음에 대하여,별로예요.
1022,파이브 스타 스토리 The Five Star Stories 4,고딩시절멋진디자인을하고있는모터헤드모습을보고초판을구매해서읽었던때에는현재과거미래도저히종잡을수없는시간흐름으로스토리를제대로이해하지못한채읽었다가대학을졸업할때까지연재가되지않아서끝내는포기했던작품인데16권까지나온걸보구다시구매하내요 근데 설정은그런다고쳐도 메카디자인은ㅠ
1023,친밀한 이방인,지금의 그녀는 어떤 모습일까. 이제는 그녀가 제대로 자신의 삶을 살았으면 좋겠다는 생각이 들었다.
1024,박시백의 고려사 1,2권도 나오자마자 바로 구매했다.
1025,화서의 꿈,매우 수준 높은 판타지 소설.
1026,2022 하반기 에듀윌 취업 온라인 GSAT 삼성직무적성검사 통합 기본서,"기출문제와 함께 수리논리, 추리 유형학습 및 실전모의고사로 완벽대비! [서평단 참여]"
1027,머나먼 섬들의 지도,아름답고 유니크한 책.
1028,어디가 제일 좋았어?,"지금 당장 여행을 떠나지 못해도, 저자처럼 여행지 속에서 나를 돌아보고 다짐하는 시간들을 선물해준다. 올 여름휴가도서로 강추!!"
1029,2022 에듀윌 전산세무 2급 기출문제집,전산세무 2급은 무조건 에듀윌이죠~ 구성이 탄탄해서 무난히 합격할 수 있을 것 같아요 / 서평단 이벤트 참여
1030,시간 고양이 2,내용이 재밌고 긴장감?있는 그런 내용이라 마음에 들었고 재미있게 봤다고 합니다~
1031,하이데거의 존재와 시간 강독,강독책이지만 이렇다하게 도움을 받진 못했다. <존재와 시간>을 조금 쉽게 풀어쓴 정도랄까. 이 한 권의 도움만으로는 <존재와 시간>을 읽어내기가 쉽지 않았다.
1032,녹색전상 1~3 세트 - 전3권 (아크릴스탠드 + 4단엽서 + 아크릴 필름마크 2종 + 스티커 3종 + 한정 엽서 4종 + 초판 엽서 3종 포함 한정판),20대 여성이 꼭 읽어야할 책이네요.
1033,순이삼촌 (출간 40주년 기념 특별 한정판),짧지만 강력하다 4.3의 현실을 생생하게 접할 수 있는 책. 꼭 드라마나 영화화가 되어 많은 사람들이 4.3을 이해할 수 있었음 좋겠다
1034,모노톤 블루,생각보다 재미있음
1035,할머니체조대회,"세계 할머니들의 ‘체조대회‘라니, 이런 발칙한 상상력은 어디에서 나왔을까! 여러 나라의 체조선수들이 할머니다운 몸매로 무언가 시도하는 순간, 리본은 파스타면으로, 마루바닥은 꽃밭으로, 평행봉은 베틀로... 바뀌어버린다. 너무 잘 그리지 않은 그림이라 더 친숙한 어른,아이 모두의 그림책."
1036,바쁜 초등학생을 위한 빠른 영단어 Starter 2,영어를 가장 어려워 했던 딸이 집에오면 가장 먼저하는공부가 바빠시리즈책이에요. 바빠파닉스를 시작으로 사이트워드 영단어 영문법까지 이지스에듀가 도와줬어요. 바빠영단어스타터2는 그림하고 영어단어가 매칭되어 자연스럽게 암기가 되네요. 정말 강추합니다.
1037,캔터베리 이야기 (완역본),"이 책을 선물 받았는데 동생이 부러워해서 저도 선물했어요. 중세 문학의 시작, 역사도 공부할 수 있어서 좋아요."
1038,페르소나주,"작가의 소설은 들어봤지만 아직 못 읽고 ,에세이 먼저 읽었네요. 에세이도 소설처럼 흥미롭게 읽히는것 같아요.이제 거꾸로 소설을 찾아 읽을 차례입니다."
1039,정리하는 뇌,$2022-6_이책은 정말 미쳤습니다 책은 미쳤기때문에 저도 미치는 것은 당연지사 였습니다 이책은 100만원 1000만원 줘도 아깝지 않습니다 이책으로 말미암아 인간의 뇌와 심리와 이해되지 않는 행동 들이 다수 이해가 갑니다 이책으로 책 멀티 책 가지치기를 할 생각으로 벌써부터 엉덩이는 들썩입니다
1040,개의 날,‘누군가 나를 버렸다‘라는 가깝고도 아득한 고통의 기억. 남겨진 또는 버려졌다는 것은 상처가 되어 우리에게 남는다. 고통에는 의미가 있다. 고통을 진실로 들여다보면서 한 개인은 구체화된다. 구체화된 인간은 달려나갈 힘을 얻는다.
