,title,review
34,악의의 질량,김내성의 마인이라! 의외로 재미있게 봐서 집어들게 된 책. 아직 중간까지 봤는데 마인에 얽힌 이야기가 꽤 괜찮네
35,엉뚱하지만 과학입니다 5,다소 엉뚱하고 재미있는 이야기에 낄낄깔깔 까르르륵~ 넘어가는 초딩들에게 자신있게 추천해 줄 수 있는 과학도서.엉뚱한 호기심도 인류에 도움이 될 수 있는 멋진 발견의 시작이 될 수 있다는 사실을 아들과 함께 재미있게 만끽했어요.
36,미완성식탁 마카롱 수업,아이가 마카롱을 너무 좋아해 마카롱을 만들어달라고 해서 마카롱 만드는 책만 한 세권 구입했는데 이 책의 레시피가 가장 맛있었고가장 럭셔리한 맛이었.어요. 그만큼 만들기는 쉽지 않지만요.하지만 마카롱 세계에 입문하게 만든 책이고요.제가 구입한 세 권중 가장 좋았어요강추입니다
37,여학교의 별 1,진짜 너무 재밌어요ㅜ 개그 포인트가 많고 캐릭터들이 돋보여서 좋아요
38,누구나 바로 따라하는 구글 앱 테크닉,구글 앱의 다양한 서비스를 활용할 수 있도록 꼼꼼하게 설명해주고 있어요.
39,불편한 편의점 (40만부 기념 벚꽃 에디션),오랫만에 술술 읽혔던 중학생 아이에게도 권하고 주변에도 선물했던책. 오히려 길게 풀어쓸수 있던 이야기를 조심조심줄여서 써준건 아니었을까? 라는 생각이 들었던나머지가 궁금해졌던..
40,신기한 맛 도깨비 식당 2,컨셉이 너무 전천당인데;심지어 마케팅도..이건 좀...아니지 않나
41,한의학과 심리학의 만남,‘해동네도 좋지만 달동네도 좋다‘ ‘마음 세탁소‘ 등 한의학과 심리학을 접목한 책들을 보지 않았다면 추천. 봤다면 복습효과. 조금 더 전문적이어도 좋았을 것.
42,성격과 심리학,"융의 성격유형론에 대해 기본적인 것을 알 수 있다. 다만, 이를 응용한 MBTI는 엔터테언먼트일 뿐이다."
43,가장 쉬운 초등 과학 실험,국내 최고 영재교육기관에서 하는 과학실험 프로그램을 배울 수 있어서 좋았다
44,그림자를 이으면 길이 된다,"귀한 책. 네, 정말로 귀한 책. 이 책에서 저자가지적해준 모든 문제들에 대해 관련분야의 모든 ‘전문가’들이 반드시 읽고 스터디 짜서 진지하게 해결방안을 모색해야 한다고 생각합니다."
45,인사이트 스타트업,이 책에서 창업을 위해 준비해야 할 사항들에 대해서 알려주고 초기 스타트업에서 중요한 정부지원 사업에 대한 설명을 통해 많은 도움을 받을 수 있습니다. 그리고 창업 후 지속적으로 성장할 수 있는 노하우에 대해서도 알 수 있습니다.
46,2022 전한길 한국사 4.0 실전동형 모의고사 시즌 1,이책으로 필노와 함깨 강의는 필수입니다 들어보시면 압니다 왜 한길선생님 얘기를 하는지를..
47,당장 써먹는 틱톡 마케팅,틱톡 저도 재밌게 쓰고있는데 이 책을 보고 더 좋아졌어요~
48,빅토리아의 발레,"이 책에 대한 고수님의 평을 그대로 믿은 게 잘못이다,대부분은 맞는데 가끔 맞지 않아 낭패를 볼 때도 심심치 않게 있다,네루다의 우편 배달부는 재미와 작품성 모두 좋았는데,,,독재도 끝난 칠레에서 이 작가 방향성을 잃은 것 같아 조금은 안타깝다"
49,퇴근 후 스마트스토어로 투잡하기,정말 입문자시점에서 차근차근 옆에서 가르쳐주는 것같이 세심한 책이예요 스마트스토어 공부하기에 어떤 책을 골라야하나 고민많았는데 정말 도움이 많이 됐어요!!! 어떻게 시작해야하나 무서웠는데 이제 용기가 좀 생겼어요 열심히 해보겠습니다 감사합니다!
50,붕대 감기,여성들 사이의 페미니즘을 전면적으로 다룬 소설. 페미니즘의 넓은 스펙트럼과 올바름에 대한 다양한 고민들. 우리는 결국 연대해야 하지 않을까?
51,스토리 창작자를 위한 빌런 작법서,"이야기 속 빌런들을 유형별로 분류, 분석한 책. 읽으면서 스토리 구상에 많은 생각을 하게 해주는 좋은 책입니다."
52,최저,"AV 배우가 쓴 소설이래서 눈길이 갔다. AV라는 직업에 대한 작가의 떳떳한 시선이 눈길을 끈다. 배우를 하는 주인공들도 우리 주변의 평범한 사람들. 그러나 전체적으로 서사가 빈약하고, 하이픈의 사용이 영 어색하다. 이야기도 네 편에서 좀 더 많았으면 좋지 않을까 하는 아쉬움이 남는다."
53,쿠프룸의 신부 1,늑대소년은 거짓말을 쌓는다도 정발좀
54,태백산맥 3,더이상 빼앗길 것도 없을만도한데 여전히 또 수탈당한다.
55,엉클 사일러스,"출판사들이 고딕하면 맨날 프랑켄슈타인, 드라쿨라, 지킬박사와 하이드씨만 번역하는 바람에 번역이 정말 안되어 있는 장르인데 하나씩이라도 늘어나니 좋네요. 언젠가는 비틀과 우돌포, 조지 레이놀즈의 작품들도 번역되길 기원해봅니다."
56,"오늘 밤, 세계에서 이 눈물이 사라진다 해도",전작을 매우 인상깊었기에 후작도 기댜하며 사봐요
57,"어서 오세요, 휴남동 서점입니다 (여름 에디션)","읽기 잘했다고 생각한 책이에요. 공감가는 구절이 많았고, 캐릭터 하나 하나에 몰입할 수 있어 좋았습니다. 영주 집에서 지미, 정서랑 셋이 맥주 마시며 놀 때 같이 있는 기분이라 좋았어요~ 작가님은 에세이를 주로 내시는 거 같은데, 이런 분위기의 소설이 한 권 더 있었으면 좋겠네요"
